engine,model,block_size,input_len,output_len,avg,p10,p25,p50,p75,p90,p99
python,Qwen/Qwen2.5-3B-Instruct,32,1024,256,2.9652787713333963,2.9619570637121795,2.9638539366424084,2.9649717761203647,2.9677614010870457,2.9689552092924716,2.9695071398094295
python,Qwen/Qwen2.5-3B-Instruct,32,1024,512,5.684333178090553,5.676490763016045,5.679430536925793,5.685196567326784,5.689242260996252,5.691280282102525,5.694150591958314
python,Qwen/Qwen2.5-3B-Instruct,32,1024,1024,11.187485097907484,11.181556856445969,11.184015916660428,11.186955419369042,11.19045134820044,11.196012393385171,11.197520119436085
python,Qwen/Qwen2.5-7B-Instruct,16,32,128,2.689101092641552,2.664146936312318,2.6945036971010268,2.694998941384256,2.6954939272254705,2.695696875266731,2.697158518359065
python,Qwen/Qwen2.5-7B-Instruct,16,32,256,5.357008121411005,5.35639121774584,5.362652487587184,5.362999213859439,5.363540478982031,5.3641552872955796,5.364616361632943
python,Qwen/Qwen2.5-7B-Instruct,16,32,512,10.720720280644795,10.728355948999525,10.728645463008434,10.728995593264699,10.72923101997003,10.729426696524024,10.730956374201924
python,Qwen/Qwen2.5-7B-Instruct,16,32,1024,21.5450192792962,21.33248707987368,21.586075590457767,21.586934848688543,21.58814873220399,21.589283149689436,21.589735420960935
python,Qwen/Qwen2.5-7B-Instruct,16,64,128,2.7078811206544438,2.704433236643672,2.705325609538704,2.709058018401265,2.7097696932032704,2.7102444680407642,2.7105116817355155
python,Qwen/Qwen2.5-7B-Instruct,16,64,256,5.37978886111329,5.375793806649744,5.378883253317326,5.380787365138531,5.3811775939539075,5.381452405452729,5.382095132153482
python,Qwen/Qwen2.5-7B-Instruct,16,64,512,10.751325691056747,10.747326164878904,10.748295558150858,10.752525095827878,10.753574253059924,10.754041113890707,10.75491835134104
python,Qwen/Qwen2.5-7B-Instruct,16,64,1024,21.622928175454337,21.618902143090963,21.62282559275627,21.623905584216118,21.624233497306705,21.62458274103701,21.625280768480152
python,Qwen/Qwen2.5-7B-Instruct,16,128,128,2.742373827348153,2.7364326139912007,2.7383422581478953,2.7445337288081646,2.7463778271339834,2.7467577246949078,2.7469987159036098
python,Qwen/Qwen2.5-7B-Instruct,16,128,256,5.420372886645297,5.415935931168496,5.416758820414543,5.422155432403088,5.423654725309461,5.424353831261397,5.425837001036853
python,Qwen/Qwen2.5-7B-Instruct,16,128,512,10.80281972916176,10.797397733479738,10.798873735126108,10.801860068924725,10.80735187837854,10.807874619588256,10.80855739897117
python,Qwen/Qwen2.5-7B-Instruct,16,128,1024,21.69529888238758,21.68874636720866,21.690907175652683,21.69761019013822,21.69915159093216,21.69953771010041,21.70043279627338
python,Qwen/Qwen2.5-7B-Instruct,16,256,128,2.8210075992469985,2.818119495175779,2.81909953430295,2.8214884465560317,2.8226987342350185,2.823270589672029,2.824915742240846
python,Qwen/Qwen2.5-7B-Instruct,16,256,256,5.507397962051133,5.504277954250574,5.505972261540592,5.507728497497737,5.509095762856305,5.510312790423631,5.511983488034457
python,Qwen/Qwen2.5-7B-Instruct,16,256,512,10.914278608498474,10.910649319179356,10.91193899186328,10.914619998075068,10.916260164231062,10.917684664577246,10.919248496275396
python,Qwen/Qwen2.5-7B-Instruct,16,256,1024,21.853065041763088,21.848750060610474,21.850593350362033,21.85403756890446,21.855005335528404,21.856667098961772,21.857619354911147
python,Qwen/Qwen2.5-7B-Instruct,16,512,128,2.986375251164039,2.9835925921797752,2.9847162174992263,2.9853398920968175,2.9868360813707113,2.991151599213481,2.9946081061847507
python,Qwen/Qwen2.5-7B-Instruct,16,512,256,5.700490822270512,5.695196413993836,5.697297067381442,5.698739687912166,5.704401079565287,5.707825303450226,5.708956783525646
python,Qwen/Qwen2.5-7B-Instruct,16,512,512,11.144585451918344,11.138159167952836,11.141419909894466,11.144530634395778,11.148302629124373,11.150966967642308,11.154345051255078
python,Qwen/Qwen2.5-7B-Instruct,16,512,1024,22.17041285292556,22.16357489861548,22.166473685763776,22.169662036933005,22.17436346039176,22.176264727674425,22.180229277145116
python,Qwen/Qwen2.5-7B-Instruct,16,1024,128,3.356922447991868,3.348593834042549,3.353225488681346,3.358089460991323,3.3596142157912254,3.3644158812239766,3.3668066076003016
python,Qwen/Qwen2.5-7B-Instruct,16,1024,256,6.113700731284917,6.101316179148853,6.109962044749409,6.1173196993768215,6.118353412486613,6.118617480248213,6.121331341322511
python,Qwen/Qwen2.5-7B-Instruct,16,1024,512,11.652542804554106,11.639337123185395,11.645301987882704,11.654082648456097,11.660589158535004,11.66457682941109,11.668704715128989
python,Qwen/Qwen2.5-7B-Instruct,16,1024,1024,22.834339406713845,22.823091220483185,22.826786286197603,22.835195661522448,22.838912775274366,22.84633705317974,22.853897181004285
python,Qwen/Qwen2.5-7B-Instruct,32,32,128,2.69283479526639,2.694193955697119,2.694297972600907,2.694488538429141,2.6949631543830037,2.6952869830653072,2.695621412023902
python,Qwen/Qwen2.5-7B-Instruct,32,32,256,5.360413587962587,5.361764335073531,5.362054825760424,5.362326556816697,5.3626205157488585,5.363069802522659,5.363690006658435
python,Qwen/Qwen2.5-7B-Instruct,32,32,512,10.712054267836114,10.607046994753182,10.727779462467879,10.728100662119687,10.728546564467251,10.72907213103026,10.730311219394206
python,Qwen/Qwen2.5-7B-Instruct,32,32,1024,21.560390596836804,21.540304094180463,21.585158637724817,21.58579579833895,21.586622738745064,21.587215532176195,21.58824127441272
python,Qwen/Qwen2.5-7B-Instruct,32,64,128,2.707626623970767,2.7037667386233806,2.7071459498256445,2.708542956970632,2.708939893171191,2.7092315984889863,2.7093815601058306
python,Qwen/Qwen2.5-7B-Instruct,32,64,256,5.378130009522041,5.374479072727263,5.375091135501862,5.37939372099936,5.379878934938461,5.380169977247715,5.381163474041968
python,Qwen/Qwen2.5-7B-Instruct,32,64,512,10.745251744613052,10.745605411194266,10.74607585510239,10.750442497432232,10.751162478234619,10.751576172560453,10.751807693708688
python,Qwen/Qwen2.5-7B-Instruct,32,64,1024,21.619559510300558,21.61617526356131,21.616832498461008,21.62058092840016,21.62126274080947,21.621670741401612,21.62287081519142
python,Qwen/Qwen2.5-7B-Instruct,32,128,128,2.7426243398338555,2.7372107634320857,2.7378447758965194,2.741653509438038,2.746961062774062,2.747477760910988,2.7484262107498942
python,Qwen/Qwen2.5-7B-Instruct,32,128,256,5.418086467124522,5.412865963950753,5.413816145155579,5.420511234551668,5.422068248968571,5.422429702244699,5.423445194456726
python,Qwen/Qwen2.5-7B-Instruct,32,128,512,10.803567341032128,10.795311503484845,10.801562609616667,10.805397895164788,10.806678934488446,10.807900446467102,10.808028463628142
python,Qwen/Qwen2.5-7B-Instruct,32,128,1024,21.691092661954464,21.68647083565593,21.687693759333342,21.690823768265545,21.695398271549493,21.696754972077905,21.697866516616195
python,Qwen/Qwen2.5-7B-Instruct,32,256,128,2.821697080694139,2.818268861062825,2.8188931848853827,2.822788903489709,2.823651002254337,2.824664019420743,2.825835544746369
